Description,Lengths,Weight,Code,A
14x90,552,"4,140# ea",SWF1490,26.5
14x90,552,"4,140# ea",SWF1490,26.5
14x90,552,"4,140# ea",SWF1490,26.5
14x90,552,"4,140# ea",SWF1490,26.5
14x90,552,"4,140# ea",SWF1490,26.5
14x159,480,"6,360# ea",SWF14159,46.7
16x31,228,589# ea.,SWF1631,9.13
16x36,183,549# ea.,SWF1631,10.6
18x35,96,315# ea,USBEAM,10.3
18x35,108,315# ea.,SWF1835,10.3
18x35,126,368# ea,USBEAM,10.3
18x40,142,473# ea,USBEAM,11.8
18x46,178,682# ea,USBEAM,13.5
18x60,238,"1,172# ea.",SWF1860,17.6
18x97,170,"1,374# ea",USBEAM,28.5
18x119,257,"2,549# ea",USBEAM,35.1
18x143,246,"2,932# ea",USBEAM,42.0
18x143,316,"3,766# ea",USBEAM,42.0
21x48,246,984# ea,USBEAM,14.1
21x50,99,413# ea,USBEAM,14.7
21x50,177,738# ea,USBEAM,14.7
21x55,240,"1,100# ea",USBEAM,16.2
21x62,192,992# ea,USBEAM,18.3
21x62,320,"1,653# ea",SWF2162,18.3
21x68,184,"1,043# ea",USBEAM,20.0
21x68,221,"1,252# ea",USBEAM,20.0
21x68,276,"1,564# ea",USBEAM,20.0
21x68,279,"1,581# ea",USBEAM,20.0
21x68,279,"1,581# ea",USBEAM,20.0
21x68,362,"2,051# ea",USBEAM,20.0
21x83,234,"1,619# ea",USBEAM,24.4
21x83,252,"1,743# ea",USBEAM,24.4
21x93,201,"1,558# ea",USBEAM,27.3
21x147,480,"5,880# ea",SWF21147,43.2
21x147,480,"5,880# ea",SWF21147,43.2
21x147,480,"5,880# ea",SWF21147,43.2
21x147,480,"5,880# ea",SWF21147,43.2
21x147,480,"5,880# ea",SWF21147,43.2
21x147,480,"5,880# ea",SWF21147,43.2
24x55,504,"2,310# ea",SWF2455,16.2
24x55,504,"2,310# ea",SWF2455,16.2
24x62,139,718# ea,USBEAM,18.2
24x62,174,899# ea,USBEAM,18.2
24x62,224,"1,157# ea.",SWF2462,18.2
24x62,306,"1,581# ea",SWF2462,18.2
24x68,300,"1,700# ea",USBEAM,20.1
24x76,275,"3,066# ea",USBEAM,22.4
24x76,380,"3,731# ea",USBEAM,22.4
24x76,462,"4,250# ea",USBEAM,22.4
24x76,462,"4,250# ea",USBEAM,22.4
24x76,462,"4,250# ea",USBEAM,22.4
24x76,462,"4,250# ea",USBEAM,22.4
24x76,462,"4,250# ea",USBEAM,22.4
24x76,529,"4,674# ea",USBEAM,22.4
24x76,529,"4,674# ea",USBEAM,22.4
24x84,271,"1,897# ea",USBEAM,24.7
24x94,267,"2,092# ea",USBEAM,27.7
24x94,480,"3,760# ea",USBEAM,27.7
24x117,200,"1,950# ea",USBEAM,34.4
24x117,231,"2,252# ea",USBEAM,34.4
24x131,169,"1,845# ea",USBEAM,38.6
24x131,176,"1,921# ea",USBEAM,38.6
24x131,218,"2,380# ea",USBEAM,38.6
24x131,348,"3,799# ea",SWF24131,38.6
27x84,165,"1,155# ea",USBEAM,24.7
27x84,357,"2,499# ea",USBEAM,24.7
27x84,442,"3,094# ea",SWF2784,24.7
27x102,153,"1,301# ea",USBEAM,30.0
27x117,145,"1,414# ea",USBEAM,
27x117,196,"1,911# ea",USBEAM,
27x117,279,"2,720# ea",USBEAM,
27x146,190,"2,312# ea",USBEAM,43.2
27x146,233,"2,835# ea",USBEAM,43.2
30x90,267,"2,003# ea",USBEAM,26.3
30x173,312,"4,498# ea",USBEAM,50.9
30x235,290,"5,678# ea",USBEAM,69.3
30x261,364,"7,917# ea",USBEAM,77.0
33x201,240,"4,020# ea",USBEAM,59.1
40x324,194,"5,238#",USBEAM,95.3
,0,,,
,0,,,
